country_code,region,year,value,indicator_code,indicator_name
TJK,Europe,2009,180.0,MDG_0000000020,Tuberculosis Incidence
MHL,Western Pacific,2016,649.0,MDG_0000000020,Tuberculosis Incidence
KIR,Western Pacific,2014,870.0,MDG_0000000020,Tuberculosis Incidence
ARM,Europe,2023,21.0,MDG_0000000020,Tuberculosis Incidence
BFA,Africa,2002,89.0,MDG_0000000020,Tuberculosis Incidence
KHM,Western Pacific,2022,277.0,MDG_0000000020,Tuberculosis Incidence
KAZ,Europe,2013,109.0,MDG_0000000020,Tuberculosis Incidence
CMR,Africa,2002,172.0,MDG_0000000020,Tuberculosis Incidence
MMR,South-East Asia,2008,530.0,MDG_0000000020,Tuberculosis Incidence
PSE,Eastern Mediterranean,2017,0.91,MDG_0000000020,Tuberculosis Incidence
NAM,Africa,2003,1240.0,MDG_0000000020,Tuberculosis Incidence
TKM,Europe,2000,193.0,MDG_0000000020,Tuberculosis Incidence
LTU,Europe,2018,54.0,MDG_0000000020,Tuberculosis Incidence
ISL,Europe,2020,3.3,MDG_0000000020,Tuberculosis Incidence
ITA,Europe,2007,6.1,MDG_0000000020,Tuberculosis Incidence
MAR,Eastern Mediterranean,2004,97.0,MDG_0000000020,Tuberculosis Incidence
BIH,Europe,2009,74.0,MDG_0000000020,Tuberculosis Incidence
MCO,Europe,2002,0.0,MDG_0000000020,Tuberculosis Incidence
SWZ,Africa,2007,1430.0,MDG_0000000020,Tuberculosis Incidence
UGA,Africa,2003,248.0,MDG_0000000020,Tuberculosis Incidence
SUR,Americas,2014,37.0,MDG_0000000020,Tuberculosis Incidence
ITA,Europe,2021,4.7,MDG_0000000020,Tuberculosis Incidence
COD,Africa,2023,385.0,MDG_0000000020,Tuberculosis Incidence
KAZ,Europe,2009,151.0,MDG_0000000020,Tuberculosis Incidence
BWA,Africa,2008,676.0,MDG_0000000020,Tuberculosis Incidence
KNA,Americas,2022,1.8,MDG_0000000020,Tuberculosis Incidence
NRU,Western Pacific,2019,147.0,MDG_0000000020,Tuberculosis Incidence
SOM,Eastern Mediterranean,2009,238.0,MDG_0000000020,Tuberculosis Incidence
ZAF,Africa,2015,988.0,MDG_0000000020,Tuberculosis Incidence
MNE,Europe,2013,29.0,MDG_0000000020,Tuberculosis Incidence
DMA,Americas,2015,9.9,MDG_0000000020,Tuberculosis Incidence
GMB,Africa,2011,178.0,MDG_0000000020,Tuberculosis Incidence
VEN,Americas,2021,48.0,MDG_0000000020,Tuberculosis Incidence
BRA,Americas,2003,51.0,MDG_0000000020,Tuberculosis Incidence
BEN,Africa,2007,84.0,MDG_0000000020,Tuberculosis Incidence
ALB,Europe,2020,15.0,MDG_0000000020,Tuberculosis Incidence
BTN,South-East Asia,2024,191.0,MDG_0000000020,Tuberculosis Incidence
AZE,Europe,2004,208.0,MDG_0000000020,Tuberculosis Incidence
GMB,Africa,2006,188.0,MDG_0000000020,Tuberculosis Incidence
PLW,Western Pacific,2007,57.0,MDG_0000000020,Tuberculosis Incidence
MOZ,Africa,2024,361.0,MDG_0000000020,Tuberculosis Incidence
SMR,Europe,2019,0.0,MDG_0000000020,Tuberculosis Incidence
DMA,Americas,2003,7.6,MDG_0000000020,Tuberculosis Incidence
VEN,Americas,2012,32.0,MDG_0000000020,Tuberculosis Incidence
MLI,Africa,2015,63.0,MDG_0000000020,Tuberculosis Incidence
LBR,Africa,2015,289.0,MDG_0000000020,Tuberculosis Incidence
BOL,Americas,2019,95.0,MDG_0000000020,Tuberculosis Incidence
CZE,Europe,2009,7.9,MDG_0000000020,Tuberculosis Incidence
GRC,Europe,2002,7.6,MDG_0000000020,Tuberculosis Incidence
IND,South-East Asia,2016,225.0,MDG_0000000020,Tuberculosis Incidence
